"","X1","DateTime","WaterTemp_c","WSE","AREA","VOLUME","vol_chg","flow","agency_cd","location_id","parameter_cd","parameter_value","lag","precip_event_cm","precip_acc_cm","Depth_m","Depth_cm","precip_pct_chg","precip_pct_tot","depth_pct_chg","depth_pct_tot","Month","Day","Year","Date","Time","storm_event"
"1",237,2017-11-09 00:00:00,14.134,121.88,23755,11045.8146629333,0,0,"CDEC","UCM",NA,0.16,0.16,0,0.4064,1.11,111,0,1.5888778550149,0,32.9376854599406,11,9,2017,2017-11-09,"00:00:00",0
"2",238,2017-11-09 00:15:00,14.134,121.88,23755,11045.8146629333,0,0,"CDEC","UCM",NA,0.16,0.16,0,0.4064,1.11,111,0,1.5888778550149,0,32.9376854599406,11,9,2017,2017-11-09,"00:15:00",0
"3",239,2017-11-09 00:30:00,14.038,121.88,23755,11045.8146629333,0,0,"CDEC","UCM",NA,0.16,0.16,0,0.4064,1.11,111,0,1.5888778550149,0,32.9376854599406,11,9,2017,2017-11-09,"00:30:00",0
"4",240,2017-11-09 00:45:00,14.038,121.89,23879.75,11284.0478878021,238.233224868774,0.264703583187527,"CDEC","UCM",NA,0.16,0.16,0,0.4064,1.12,112,0,1.5888778550149,0.900900900901358,33.2344213649853,11,9,2017,2017-11-09,"00:45:00",0
"5",241,2017-11-09 01:00:00,14.038,121.88,23755,11045.8146629333,-238.233224868774,-0.264703583187527,"CDEC","UCM",NA,0.16,0.16,0,0.4064,1.11,111,0,1.5888778550149,0,32.9376854599406,11,9,2017,2017-11-09,"01:00:00",0
"6",242,2017-11-09 01:15:00,13.942,121.88,23755,11045.8146629333,0,0,"CDEC","UCM",NA,0.16,0.16,0,0.4064,1.11,111,0,1.5888778550149,0,32.9376854599406,11,9,2017,2017-11-09,"01:15:00",0
"7",243,2017-11-09 01:30:00,13.942,121.89,23879.75,11284.0478878021,238.233224868774,0.264703583187527,"CDEC","UCM",NA,0.16,0.16,0,0.4064,1.12,112,0,1.5888778550149,0.900900900901358,33.2344213649853,11,9,2017,2017-11-09,"01:30:00",0
"8",244,2017-11-09 01:45:00,13.942,121.88,23755,11045.8146629333,-238.233224868774,-0.264703583187527,"CDEC","UCM",NA,0.16,0.16,0,0.4064,1.11,111,0,1.5888778550149,0,32.9376854599406,11,9,2017,2017-11-09,"01:45:00",0
"9",245,2017-11-09 02:00:00,13.942,121.88,23755,11045.8146629333,0,0,"CDEC","UCM",NA,0.16,0.16,0,0.4064,1.11,111,0,1.5888778550149,0,32.9376854599406,11,9,2017,2017-11-09,"02:00:00",0
"10",246,2017-11-09 02:15:00,13.942,121.89,23879.75,11284.0478878021,238.233224868774,0.264703583187527,"CDEC","UCM",NA,0.16,0.16,0,0.4064,1.12,112,0,1.5888778550149,0.900900900901358,33.2344213649853,11,9,2017,2017-11-09,"02:15:00",0
"11",247,2017-11-09 02:30:00,13.942,121.89,23879.75,11284.0478878021,0,0,"CDEC","UCM",NA,0.16,0.16,0,0.4064,1.12,112,0,1.5888778550149,0,33.2344213649853,11,9,2017,2017-11-09,"02:30:00",0
"12",248,2017-11-09 02:45:00,13.942,121.88,23755,11045.8146629333,-238.233224868774,-0.264703583187527,"CDEC","UCM",NA,0.16,0.16,0,0.4064,1.11,111,0,1.5888778550149,0,32.9376854599406,11,9,2017,2017-11-09,"02:45:00",0
"13",249,2017-11-09 03:00:00,13.942,121.88,23755,11045.8146629333,0,0,"CDEC","UCM",NA,0.16,0.16,0,0.4064,1.11,111,0,1.5888778550149,0,32.9376854599406,11,9,2017,2017-11-09,"03:00:00",0
"14",250,2017-11-09 03:15:00,13.846,121.88,23755,11045.8146629333,0,0,"CDEC","UCM",NA,0.16,0.16,0,0.4064,1.11,111,0,1.5888778550149,0,32.9376854599406,11,9,2017,2017-11-09,"03:15:00",0
"15",251,2017-11-09 03:30:00,13.846,121.88,23755,11045.8146629333,0,0,"CDEC","UCM",NA,0.16,0.16,0,0.4064,1.11,111,0,1.5888778550149,0,32.9376854599406,11,9,2017,2017-11-09,"03:30:00",0
"16",252,2017-11-09 03:45:00,13.846,121.88,23755,11045.8146629333,0,0,"CDEC","UCM",NA,0.16,0.16,0,0.4064,1.11,111,0,1.5888778550149,0,32.9376854599406,11,9,2017,2017-11-09,"03:45:00",0
"17",253,2017-11-09 04:00:00,13.846,121.88,23755,11045.8146629333,0,0,"CDEC","UCM",NA,0.16,0.16,0,0.4064,1.11,111,0,1.5888778550149,0,32.9376854599406,11,9,2017,2017-11-09,"04:00:00",0
"18",254,2017-11-09 04:15:00,13.846,121.88,23755,11045.8146629333,0,0,"CDEC","UCM",NA,0.16,0.16,0,0.4064,1.11,111,0,1.5888778550149,0,32.9376854599406,11,9,2017,2017-11-09,"04:15:00",0
"19",255,2017-11-09 04:30:00,13.846,121.88,23755,11045.8146629333,0,0,"CDEC","UCM",NA,0.16,0.16,0,0.4064,1.11,111,0,1.5888778550149,0,32.9376854599406,11,9,2017,2017-11-09,"04:30:00",0
"20",256,2017-11-09 04:45:00,13.75,121.88,23755,11045.8146629333,0,0,"CDEC","UCM",NA,0.16,0.16,0,0.4064,1.11,111,0,1.5888778550149,0,32.9376854599406,11,9,2017,2017-11-09,"04:45:00",0
"21",257,2017-11-09 05:00:00,13.75,121.88,23755,11045.8146629333,0,0,"CDEC","UCM",NA,0.16,0.16,0,0.4064,1.11,111,0,1.5888778550149,0,32.9376854599406,11,9,2017,2017-11-09,"05:00:00",0
"22",258,2017-11-09 05:15:00,13.75,121.88,23755,11045.8146629333,0,0,"CDEC","UCM",NA,0.16,0.16,0,0.4064,1.11,111,0,1.5888778550149,0,32.9376854599406,11,9,2017,2017-11-09,"05:15:00",0
"23",259,2017-11-09 05:30:00,13.75,121.89,23879.75,11284.0478878021,238.233224868774,0.264703583187527,"CDEC","UCM",NA,0.16,0.16,0,0.4064,1.12,112,0,1.5888778550149,0.900900900901358,33.2344213649853,11,9,2017,2017-11-09,"05:30:00",0
"24",260,2017-11-09 05:45:00,13.75,121.88,23755,11045.8146629333,-238.233224868774,-0.264703583187527,"CDEC","UCM",NA,0.16,0.16,0,0.4064,1.11,111,0,1.5888778550149,0,32.9376854599406,11,9,2017,2017-11-09,"05:45:00",0
"25",261,2017-11-09 06:00:00,13.75,121.88,23755,11045.8146629333,0,0,"CDEC","UCM",NA,0.16,0.16,0,0.4064,1.11,111,0,1.5888778550149,0,32.9376854599406,11,9,2017,2017-11-09,"06:00:00",0
"26",262,2017-11-09 06:15:00,13.75,121.89,23879.75,11284.0478878021,238.233224868774,0.264703583187527,"CDEC","UCM",NA,0.16,0.16,0,0.4064,1.12,112,0,1.5888778550149,0.900900900901358,33.2344213649853,11,9,2017,2017-11-09,"06:15:00",0
"27",263,2017-11-09 06:30:00,13.75,121.88,23755,11045.8146629333,-238.233224868774,-0.264703583187527,"CDEC","UCM",NA,0.16,0.16,0,0.4064,1.11,111,0,1.5888778550149,0,32.9376854599406,11,9,2017,2017-11-09,"06:30:00",0
"28",264,2017-11-09 06:45:00,13.75,121.89,23879.75,11284.0478878021,238.233224868774,0.264703583187527,"CDEC","UCM",NA,0.16,0.16,0,0.4064,1.12,112,0,1.5888778550149,0.900900900901358,33.2344213649853,11,9,2017,2017-11-09,"06:45:00",0
"29",265,2017-11-09 07:00:00,13.75,121.89,23879.75,11284.0478878021,0,0,"CDEC","UCM",NA,0.16,0.16,0,0.4064,1.12,112,0,1.5888778550149,0,33.2344213649853,11,9,2017,2017-11-09,"07:00:00",0
"30",266,2017-11-09 07:15:00,13.75,121.88,23755,11045.8146629333,-238.233224868774,-0.264703583187527,"CDEC","UCM",NA,0.16,0.16,0,0.4064,1.11,111,0,1.5888778550149,0,32.9376854599406,11,9,2017,2017-11-09,"07:15:00",0
"31",267,2017-11-09 07:30:00,13.75,121.89,23879.75,11284.0478878021,238.233224868774,0.264703583187527,"CDEC","UCM",NA,0.16,0.16,0,0.4064,1.12,112,0,1.5888778550149,0.900900900901358,33.2344213649853,11,9,2017,2017-11-09,"07:30:00",0
