Rowid_,OBJECTID,ELEVATION,AREA,VOLUME
,0,120.778572082520000,0.000000000000000,0.000000000000000
,0,120.788572082520010,3.500000000000000,0.017957687377930
,0,120.798572082520000,12.000000000000000,0.094196319580078
,0,120.808572082520000,22.750000000000000,0.267177581787109
,0,120.818572082520010,34.000000000000000,0.552795410156250
,0,120.828572082520000,47.000000000000000,0.955522537231445
,0,120.838572082520000,59.500000000000000,1.489204406738281
,0,120.848572082519990,73.000000000000000,2.154972076416016
,0,120.858572082520000,83.750000000000000,2.938205718994141
,0,120.868572082520000,97.250000000000000,3.850650787353516
,0,120.878572082519990,111.250000000000000,4.901752471923828
,0,120.888572082520000,133.250000000000000,6.123321533203125
,0,120.898572082520000,176.750000000000000,7.627826690673828
,0,120.908572082520000,316.000000000000000,10.046699523925781
,0,120.918572082520000,488.750000000000000,14.051803588867188
,0,120.928572082520010,660.000000000000000,19.823844909667969
,0,120.938572082520000,865.750000000000000,27.362556457519531
,0,120.948572082520000,1125.000000000000000,37.330375671386719
,0,120.958572082520010,1362.500000000000000,49.772253036499023
,0,120.968572082520000,1582.250000000000000,64.515928268432617
,0,120.978572082520000,1770.000000000000000,81.290819168090820
,0,120.988572082519990,1953.250000000000000,99.883567810058594
,0,120.998572082520000,2131.000000000000000,120.330642700195310
,0,121.008572082520000,2332.250000000000000,142.641542434692380
,0,121.018572082520000,2541.250000000000000,167.008293151855470
,0,121.028572082520000,2766.750000000000000,193.529397964477540
,0,121.038572082520010,2975.750000000000000,222.208272933959960
,0,121.048572082520000,3155.000000000000000,252.932920455932620
,0,121.058572082520000,3287.250000000000000,285.170301437377930
,0,121.068572082520010,3405.750000000000000,318.658483505249020
,0,121.078572082520000,3517.000000000000000,353.275732040405270
,0,121.088572082520000,3644.250000000000000,389.074684143066410
,0,121.098572082519990,3779.000000000000000,426.221477508544920
,0,121.108572082520000,3947.750000000000000,464.827756881713870
,0,121.118572082520000,4111.750000000000000,505.095411300659180
,0,121.128572082519990,4279.250000000000000,547.041976928710940
,0,121.138572082520000,4448.750000000000000,590.681461334228520
,0,121.148572082520000,4672.750000000000000,636.313316345214840
,0,121.158572082520000,4871.000000000000000,684.024065017700200
,0,121.168572082520000,5070.750000000000000,733.739952087402340
,0,121.178572082520010,5295.250000000000000,785.575607299804690
,0,121.188572082520000,5483.750000000000000,839.542118072509770
,0,121.198572082520000,5677.500000000000000,895.333454132080080
,0,121.208572082520010,5860.500000000000000,953.034946441650390
,0,121.218572082520000,6042.000000000000000,1012.546175003051800
,0,121.228572082520000,6222.500000000000000,1073.849645614624000
,0,121.238572082519990,6394.250000000000000,1136.964536666870100
,0,121.248572082520000,6551.500000000000000,1201.708721160888700
,0,121.258572082520000,6712.750000000000000,1268.083003997802700
,0,121.268572082520000,6867.750000000000000,1335.979671478271500
,0,121.278572082520000,7023.000000000000000,1405.459949493408200
,0,121.288572082520010,7176.750000000000000,1476.426404953002900
,0,121.298572082520000,7326.250000000000000,1548.897245407104500
,0,121.308572082520000,7477.750000000000000,1622.949632644653300
,0,121.318572082520010,7630.250000000000000,1698.497337341308600
,0,121.328572082520000,7783.500000000000000,1775.577121734619100
,0,121.338572082520000,7948.250000000000000,1854.158647537231400
,0,121.348572082519990,8117.500000000000000,1934.501571655273400
,0,121.358572082520000,8282.750000000000000,2016.526365280151400
,0,121.368572082520000,8468.500000000000000,2100.218265533447300
,0,121.378572082519990,8687.500000000000000,2185.985097885131800
,0,121.388572082520000,8914.500000000000000,2273.983337402343700
,0,121.398572082520000,9145.500000000000000,2364.310226440429700
,0,121.408572082520000,9382.250000000000000,2456.894683837890600
,0,121.418572082520000,9631.500000000000000,2551.997627258300800
,0,121.428572082520010,9906.000000000000000,2649.683391571044900
,0,121.438572082520000,10189.500000000000000,2750.216274261474600
,0,121.448572082520000,10470.500000000000000,2853.441728591918900
,0,121.458572082520010,10841.750000000000000,2959.962354660034200
,0,121.468572082520000,11321.250000000000000,3070.868885040283200
,0,121.478572082520000,11804.500000000000000,3186.233905792236300
,0,121.488572082519990,12597.000000000000000,3308.156257629394500
,0,121.498572082520000,13311.250000000000000,3437.805643081665000
,0,121.508572082520000,14032.000000000000000,3574.578336715698200
,0,121.518572082520000,14691.250000000000000,3718.181169509887700
,0,121.528572082520000,15253.000000000000000,3867.980098724365200
,0,121.538572082520010,15718.500000000000000,4022.931894302368200
,0,121.548572082520000,16117.250000000000000,4182.083164215087900
,0,121.558572082520000,16441.750000000000000,4344.983699798584000
,0,121.568572082520010,16748.750000000000000,4510.995744705200200
,0,121.578572082520000,17125.500000000000000,4680.297840118408200
,0,121.588572082520000,17512.500000000000000,4853.463897705078100
,0,121.598572082519990,17903.500000000000000,5030.627559661865200
,0,121.608572082520000,18321.250000000000000,5211.797550201416000
,0,121.618572082520000,18726.000000000000000,5397.008756637573200
,0,121.628572082519990,19101.000000000000000,5586.177524566650400
,0,121.638572082520000,19529.750000000000000,5779.278179168701200
,0,121.648572082520000,19883.750000000000000,5976.450822830200200
,0,121.658572082520000,20138.500000000000000,6176.494039535522500
,0,121.668572082520000,20382.000000000000000,6379.157020568847700
,0,121.678572082520010,20594.000000000000000,6584.069896697998000
,0,121.688572082520000,20814.750000000000000,6791.156700134277300
,0,121.698572082520000,21013.500000000000000,7000.207841873168900
,0,121.708572082520010,21199.500000000000000,7211.347227096557600
,0,121.718572082520000,21370.250000000000000,7424.262510299682600
,0,121.728572082520000,21535.000000000000000,7638.680402755737300
,0,121.738572082519990,21703.250000000000000,7854.925447463989300
,0,121.748572082520000,21865.750000000000000,8072.833747863769500
